time,CH1
-0.5,1.67
-0.4999,1.71
-0.4998,1.73
-0.4997,1.9000000000000001
-0.4996,2.11
-0.4995,2.2800000000000002
-0.4994,2.41
-0.4993,2.5100000000000002
-0.4992,2.59
-0.4991,2.63
-0.499,2.69
-0.4989,2.7
-0.4988,2.73
-0.4987,2.62
-0.4986,2.43
-0.4985,2.31
-0.4984,2.21
-0.4983,2.11
-0.4982,2.17
-0.4981,2.27
-0.498,2.34
-0.4979,2.41
-0.4978,2.44
-0.4977,2.29
-0.4976,1.96
-0.4975,1.72
-0.4974,1.54
-0.4973,1.3800000000000001
-0.4972,1.22
-0.4971,1.07
-0.497,0.9400000000000001
-0.4969,0.85
-0.4968,0.76
-0.4967,0.8300000000000001
-0.4966,1.16
-0.4965,1.42
-0.4964,1.59
-0.4963,1.76
-0.4962,1.82
-0.4961,1.69
-0.496,1.58
-0.4959,1.49
-0.4958,1.41
-0.4957,1.46
-0.4956,1.71
-0.4955,1.9000000000000001
-0.4954,2.04
-0.4953,2.16
-0.4952,2.19
-0.4951,1.8800000000000001
-0.495,1.6600000000000001
-0.4949,1.49
-0.4948,1.34
-0.4947,1.26
-0.4946,1.37
-0.4945,1.43
-0.4944,1.48
-0.4943,1.52
-0.4942,1.56
-0.4941,1.7
-0.494,1.8
-0.4939,1.8800000000000001
-0.4938,1.95
-0.4937,1.98
-0.4936,2.18
-0.4935,2.29
-0.4934,2.4
-0.4933,2.47
-0.49319999999999997,2.5500000000000003
-0.4931,2.09
-0.493,1.73
-0.4929,1.43
-0.4928,1.21
-0.4927,1.0
-0.4926,1.16
-0.4925,1.26
-0.4924,1.3800000000000001
-0.4923,1.43
-0.4922,1.48
-0.4921,1.4000000000000001
-0.492,1.3
-0.4919,1.22
-0.4918,1.18
-0.4917,1.12
-0.4916,1.21
-0.4915,1.29
-0.4914,1.36
-0.4913,1.42
-0.4912,1.46
-0.4911,1.36
-0.491,1.23
-0.4909,1.1400000000000001
-0.4908,1.05
-0.4907,1.0
-0.4906,1.1
-0.4905,1.25
-0.4904,1.35
-0.4903,1.44
-0.4902,1.52
-0.4901,1.35
-0.49,1.11
-0.4899,0.93
-0.4898,0.78
-0.4897,0.68
-0.4896,0.73
-0.4895,0.86
-0.4894,0.97
-0.4893,1.03
-0.4892,1.09
-0.4891,1.11
-0.489,1.05
-0.4889,1.05
-0.4888,1.01
-0.4887,1.0
-0.4886,1.21
-0.4885,1.52
-0.4884,1.75
-0.4883,1.95
-0.4882,2.08
-0.4881,2.23
-0.488,2.37
-0.4879,2.49
-0.4878,2.6
-0.4877,2.68
-0.4876,2.5300000000000002
-0.4875,2.18
-0.4874,1.92
-0.4873,1.72
-0.4872,1.54
-0.4871,1.42
-0.487,1.3
