time,CH1
-0.5,2.46
-0.4999,2.46
-0.4998,2.2600000000000002
-0.4997,2.05
-0.4996,1.8800000000000001
-0.4995,1.78
-0.4994,1.68
-0.4993,1.58
-0.4992,1.53
-0.4991,1.49
-0.499,1.45
-0.4989,1.41
-0.4988,1.3900000000000001
-0.4987,1.37
-0.4986,1.33
-0.4985,1.32
-0.4984,1.33
-0.4983,1.3
-0.4982,1.29
-0.4981,1.29
-0.498,1.28
-0.4979,1.27
-0.4978,1.02
-0.4977,0.84
-0.4976,0.68
-0.4975,0.5700000000000001
-0.4974,0.47000000000000003
-0.4973,0.38
-0.4972,0.33
-0.4971,0.26
-0.497,0.23
-0.4969,0.19
-0.4968,0.17
-0.4967,0.14
-0.4966,0.12
-0.4965,0.13
-0.4964,0.1
-0.4963,0.1
-0.4962,0.08
-0.4961,0.08
-0.496,0.07
-0.4959,0.07
-0.4958,0.48
-0.4957,0.8300000000000001
-0.4956,1.1
-0.4955,1.34
-0.4954,1.52
-0.4953,1.6600000000000001
-0.4952,1.77
-0.4951,1.87
-0.495,1.94
-0.4949,2.02
-0.4948,2.08
-0.4947,2.12
-0.4946,2.15
-0.4945,2.17
-0.4944,2.2
-0.4943,2.24
-0.4942,2.24
-0.4941,2.25
-0.494,2.2600000000000002
-0.4939,2.27
-0.4938,1.8900000000000001
-0.4937,1.59
-0.4936,1.34
-0.4935,1.1400000000000001
-0.4934,0.99
-0.4933,0.8300000000000001
-0.49319999999999997,0.72
-0.4931,0.64
-0.493,0.58
-0.4929,0.52
-0.4928,0.48
-0.4927,0.44
-0.4926,0.4
-0.4925,0.37
-0.4924,0.34
-0.4923,0.31
-0.4922,0.32
-0.4921,0.3
-0.492,0.29
-0.4919,0.29
-0.4918,0.28
-0.4917,0.28
-0.4916,0.28
-0.4915,0.26
-0.4914,0.27
-0.4913,0.27
-0.4912,0.26
-0.4911,0.25
-0.491,0.25
-0.4909,0.24
-0.4908,0.25
-0.4907,0.26
-0.4906,0.26
-0.4905,0.26
-0.4904,0.24
-0.4903,0.25
-0.4902,0.25
-0.4901,0.26
-0.49,0.26
-0.4899,0.26
-0.4898,0.27
-0.4897,0.32
-0.4896,0.34
-0.4895,0.36
-0.4894,0.38
-0.4893,0.39
-0.4892,0.4
-0.4891,0.42
-0.489,0.41000000000000003
-0.4889,0.42
-0.4888,0.43
-0.4887,0.43
-0.4886,0.44
-0.4885,0.46
-0.4884,0.44
-0.4883,0.44
-0.4882,0.45
-0.4881,0.44
-0.488,0.45
-0.4879,0.43
-0.4878,0.67
-0.4877,0.92
-0.4876,1.12
-0.4875,1.27
-0.4874,1.41
-0.4873,1.51
-0.4872,1.6
-0.4871,1.6600000000000001
-0.487,1.72
-0.4869,1.78
-0.4868,1.8
-0.4867,1.84
-0.4866,1.87
-0.4865,1.8800000000000001
-0.4864,1.9000000000000001
-0.4863,1.92
-0.4862,1.9100000000000001
-0.4861,1.94
-0.486,1.94
-0.4859,1.94
-0.4858,2.11
-0.4857,2.31
-0.4856,2.46
-0.4855,2.58
-0.4854,2.67
-0.4853,2.77
-0.4852,2.84
-0.4851,2.89
-0.485,2.93
-0.4849,2.95
-0.4848,2.98
-0.4847,3.0100000000000002
-0.4846,3.0100000000000002
-0.4845,3.04
-0.4844,3.0700000000000003
-0.4843,3.0700000000000003
-0.4842,3.0700000000000003
-0.4841,3.09
-0.484,3.09
-0.4839,3.1
-0.4838,2.84
-0.4837,2.43
-0.4836,2.12
-0.4835,1.86
-0.4834,1.6600000000000001
-0.4833,1.48
-0.4832,1.37
-0.4831,1.24
-0.483,1.16
-0.4829,1.09
-0.4828,1.03
-0.4827,0.99
-0.4826,0.9400000000000001
-0.4825,0.9
-0.4824,0.86
-0.4823,0.8300000000000001
-0.4822,0.84
-0.4821,0.8200000000000001
-0.482,0.8
-0.4819,0.79
-0.4818,1.04
-0.4817,1.4000000000000001
-0.48160000000000003,1.69
-0.4815,1.92
-0.4814,2.11
-0.4813,2.2600000000000002
-0.4812,2.38
-0.48109999999999997,2.48
-0.481,2.5500000000000003
-0.4809,2.62
-0.4808,2.69
-0.4807,2.71
-0.4806,2.7600000000000002
-0.4805,2.7800000000000002
-0.4804,2.8000000000000003
-0.4803,2.83
-0.4802,2.84
-0.48009999999999997,2.87
-0.48,2.87
-0.4799,2.88
-0.4798,2.63
-0.4797,2.19
-0.4796,1.8800000000000001
-0.4795,1.58
-0.4794,1.37
-0.4793,1.2
-0.4792,1.06
-0.47909999999999997,0.9400000000000001
-0.479,0.86
-0.4789,0.78
-0.4788,0.71
-0.4787,0.65
-0.4786,0.61
-0.4785,0.58
-0.4784,0.53
-0.4783,0.53
-0.4782,0.5
-0.4781,0.5
-0.478,0.48
-0.4779,0.47000000000000003
-0.4778,0.67
-0.4777,1.05
-0.4776,1.33
-0.4775,1.55
-0.4774,1.73
-0.4773,1.8800000000000001
-0.4772,1.99
-0.4771,2.09
-0.477,2.17
-0.4769,2.24
-0.4768,2.3000000000000003
-0.4767,2.32
-0.4766,2.37
-0.4765,2.4
-0.4764,2.42
-0.4763,2.41
-0.4762,2.46
-0.4761,2.47
-0.476,2.48
-0.4759,2.49
-0.4758,2.49
-0.4757,2.47
-0.4756,2.46
-0.4755,2.46
-0.4754,2.43
-0.4753,2.44
-0.4752,2.43
-0.4751,2.43
-0.475,2.42
-0.4749,2.42
-0.4748,2.41
-0.4747,2.43
-0.4746,2.42
-0.4745,2.41
-0.4744,2.42
-0.4743,2.41
-0.4742,2.42
-0.4741,2.4
-0.474,2.42
-0.4739,2.4
-0.4738,2.36
-0.4737,2.17
-0.4736,2.02
-0.4735,1.9100000000000001
-0.4734,1.82
-0.4733,1.75
