CH1,CH3,CH4,Ts
-1.339765625e+2,2.799843750e+1,-9.131106250e+0,2.000000000e-9
-1.360390625e+2,2.820000000e+1,-9.130400000e+0,
-1.370156250e+2,2.800000000e+1,-9.403012500e+0,
-1.380000000e+2,2.820156250e+1,-9.312612500e+0,
-1.380156250e+2,2.838593750e+1,-9.130400000e+0,
-1.390234375e+2,2.899843750e+1,-9.312612500e+0,
-1.360234375e+2,2.878906250e+1,-9.401600000e+0,
-1.369843750e+2,2.800156250e+1,-9.401600000e+0,
-1.370078125e+2,2.920625000e+1,-9.311906250e+0,
-1.379765625e+2,2.920312500e+1,-9.493412500e+0,
-1.399921875e+2,2.960000000e+1,-9.583106250e+0,
-1.389843750e+2,2.840781250e+1,-9.491293750e+0,
-1.390078125e+2,2.840156250e+1,-9.401600000e+0,
-1.390000000e+2,2.900156250e+1,-9.492000000e+0,
-1.390078125e+2,2.920000000e+1,-9.582400000e+0,
-1.390000000e+2,2.940156250e+1,-9.492706250e+0,
-1.380000000e+2,2.940000000e+1,-9.672800000e+0,
-1.410078125e+2,2.920312500e+1,-9.583812500e+0,
-1.399921875e+2,2.900000000e+1,-9.401600000e+0,
-1.390156250e+2,2.900000000e+1,-9.489175000e+0,
-1.370000000e+2,2.999531250e+1,-9.852893750e+0,
-1.400234375e+2,2.999531250e+1,-9.761787500e+0,
-1.429921875e+2,3.000000000e+1,-9.492000000e+0,
-1.420000000e+2,3.000156250e+1,-9.852187500e+0,
-1.440156250e+2,2.998437500e+1,-9.676331250e+0,
-1.400000000e+2,3.040000000e+1,-9.763200000e+0,
-1.420000000e+2,2.999531250e+1,-9.672800000e+0,
-1.420000000e+2,2.980000000e+1,-9.679156250e+0,
-1.430078125e+2,2.979843750e+1,-1.003369375e+1,
-1.430000000e+2,2.980000000e+1,-9.672800000e+0,
-1.430000000e+2,3.019375000e+1,-9.944706250e+0,
-1.420000000e+2,3.039687500e+1,-9.763200000e+0,
-1.430000000e+2,3.019843750e+1,-9.944000000e+0,
-1.440000000e+2,3.060000000e+1,-9.761081250e+0,
-1.450078125e+2,3.019375000e+1,-9.582400000e+0,
-1.430390625e+2,3.020156250e+1,-9.580987500e+0,
-1.419765625e+2,3.079687500e+1,-9.944000000e+0,
-1.450000000e+2,3.060625000e+1,-9.942587500e+0,
-1.440234375e+2,3.040000000e+1,-1.039529375e+1,
-1.470000000e+2,3.039843750e+1,-1.021308125e+1,
-1.439609375e+2,3.079687500e+1,-9.763200000e+0,
-1.450234375e+2,3.040000000e+1,-1.021520000e+1,
-1.450156250e+2,3.100000000e+1,-9.853600000e+0,
-1.459765625e+2,3.080156250e+1,-9.762493750e+0,
-1.430000000e+2,3.060000000e+1,-9.852893750e+0,
-1.459687500e+2,3.079843750e+1,-1.003440000e+1,
-1.450000000e+2,3.080000000e+1,-1.012621250e+1,
-1.460000000e+2,3.100312500e+1,-1.021449375e+1,
-1.469765625e+2,3.099843750e+1,-9.944000000e+0,
-1.500078125e+2,3.060000000e+1,-1.012480000e+1,
