CH1,CH2,CH3,CH4,Ts
2.635312500e+2,-9.115625000e-2,-3.000000000e-2,4.000000000e-2,4.000000000e-10
2.639531250e+2,-9.312500000e-2,-1.953125000e-2,5.000000000e-2,
2.620468750e+2,-1.039687500e-1,-9.687500000e-3,4.000000000e-2,
2.662500000e+2,-9.090625000e-2,2.343750000e-4,4.976562500e-2,
2.681406250e+2,-8.846875000e-2,-1.062500000e-2,5.000000000e-2,
2.700156250e+2,-9.637500000e-2,-4.007812500e-2,5.015625000e-2,
2.700937500e+2,-9.584375000e-2,-2.265625000e-3,4.125000000e-2,
2.696562500e+2,-8.803125000e-2,1.062500000e-2,3.789062500e-2,
2.619218750e+2,-9.184375000e-2,1.640625000e-3,6.992187500e-2,
2.676718750e+2,-8.853125000e-2,-8.750000000e-3,4.296875000e-2,
2.663593750e+2,-8.793750000e-2,-1.015625000e-2,4.007812500e-2,
2.639843750e+2,-9.581250000e-2,-9.687500000e-3,3.000000000e-2,
2.642031250e+2,-9.618750000e-2,-2.000000000e-2,7.812500000e-5,
2.601718750e+2,-9.190625000e-2,-1.000000000e-2,3.007812500e-2,
2.617656250e+2,-1.000312500e-1,-1.031250000e-2,2.023437500e-2,
2.651875000e+2,-9.206250000e-2,-2.000000000e-2,4.015625000e-2,
2.738593750e+2,-9.631250000e-2,-9.843750000e-3,6.039062500e-2,
2.683906250e+2,-8.381250000e-2,-1.023437500e-2,5.960937500e-2,
2.660781250e+2,-9.612500000e-2,-1.976562500e-2,5.023437500e-2,
2.658750000e+2,-8.000000000e-2,-1.023437500e-2,6.968750000e-2,
2.720781250e+2,-9.556250000e-2,-3.015625000e-2,2.859375000e-2,
2.620937500e+2,-8.784375000e-2,-1.929687500e-2,3.054687500e-2,
2.619218750e+2,-8.425000000e-2,-8.984375000e-3,5.117187500e-2,
2.618906250e+2,-1.001250000e-1,-1.093750000e-3,5.945312500e-2,
2.660937500e+2,-9.987500000e-2,-3.054687500e-2,3.937500000e-2,
2.618750000e+2,-9.196875000e-2,-6.640625000e-3,4.054687500e-2,
2.717812500e+2,-9.603125000e-2,-1.406250000e-3,3.898437500e-2,
2.681875000e+2,-9.596875000e-2,-2.070312500e-2,4.140625000e-2,
2.679687500e+2,-8.771875000e-2,-2.093750000e-2,8.054687500e-2,
2.661406250e+2,-8.421875000e-2,-2.898437500e-2,5.859375000e-2,
2.619843750e+2,-9.237500000e-2,1.875000000e-3,5.976562500e-2,
2.617656250e+2,-9.168750000e-2,-1.312500000e-2,3.804687500e-2,
2.699375000e+2,-8.803125000e-2,-4.867187500e-2,3.101562500e-2,
2.661093750e+2,-9.237500000e-2,6.250000000e-4,3.945312500e-2,
2.678750000e+2,-9.615625000e-2,-3.031250000e-2,2.007812500e-2,
2.695781250e+2,-1.000312500e-1,3.906250000e-4,5.015625000e-2,
2.742500000e+2,-1.000000000e-1,-2.015625000e-2,5.000000000e-2,
2.623750000e+2,-1.000000000e-1,1.093750000e-2,5.000000000e-2,
2.599843750e+2,-8.425000000e-2,7.812500000e-5,4.984375000e-2,
2.613906250e+2,-8.756250000e-2,-1.070312500e-2,6.000000000e-2,
2.721093750e+2,-9.550000000e-2,8.593750000e-4,4.000000000e-2,
2.623906250e+2,-1.000625000e-1,-1.929687500e-2,4.984375000e-2,
2.661093750e+2,-9.365625000e-2,-3.828125000e-3,5.093750000e-2,
2.617343750e+2,-8.743750000e-2,1.562500000e-4,3.984375000e-2,
2.621562500e+2,-1.031875000e-1,0.000000000e+0,5.976562500e-2,
2.682812500e+2,-1.012187500e-1,7.812500000e-5,5.015625000e-2,
2.698750000e+2,-8.812500000e-2,9.921875000e-3,5.960937500e-2,
2.639218750e+2,-9.200000000e-2,-1.000000000e-2,5.140625000e-2,
2.661093750e+2,-8.793750000e-2,1.562500000e-4,2.960937500e-2,
2.682031250e+2,-9.993750000e-2,1.945312500e-2,5.960937500e-2,
2.720000000e+2,-9.640625000e-2,3.007812500e-2,6.000000000e-2,
2.677656250e+2,-9.200000000e-2,1.000000000e-2,7.000000000e-2,
2.681562500e+2,-9.200000000e-2,-1.000000000e-2,6.000000000e-2,
2.719218750e+2,-9.190625000e-2,1.007812500e-2,5.976562500e-2,
2.617656250e+2,-9.603125000e-2,-1.015625000e-2,6.054687500e-2,
2.640000000e+2,-8.821875000e-2,-2.007812500e-2,4.000000000e-2,
2.740000000e+2,-8.784375000e-2,-1.046875000e-2,5.937500000e-2,
2.621562500e+2,-9.593750000e-2,1.984375000e-2,6.007812500e-2,
2.602187500e+2,-9.209375000e-2,-1.078125000e-2,5.000000000e-2,
2.760937500e+2,-8.396875000e-2,-9.921875000e-3,5.000000000e-2,
2.736718750e+2,-8.406250000e-2,-2.046875000e-2,4.000000000e-2,
2.660468750e+2,-8.803125000e-2,-2.000000000e-2,4.000000000e-2,
2.699843750e+2,-8.800000000e-2,1.000000000e-2,3.031250000e-2,
2.599218750e+2,-8.806250000e-2,-7.812500000e-5,3.968750000e-2,
2.640625000e+2,-9.212500000e-2,1.000000000e-2,7.000000000e-2,
2.659843750e+2,-9.603125000e-2,-7.812500000e-5,5.093750000e-2,
2.640781250e+2,-9.206250000e-2,0.000000000e+0,2.976562500e-2,
2.580000000e+2,-8.406250000e-2,-2.343750000e-4,4.960937500e-2,
2.695000000e+2,-8.787500000e-2,-3.000000000e-2,4.992187500e-2,
2.760000000e+2,-8.800000000e-2,3.125000000e-4,5.984375000e-2,
2.660156250e+2,-8.806250000e-2,2.953125000e-2,4.000000000e-2,
2.700000000e+2,-8.378125000e-2,3.203125000e-2,5.984375000e-2,
2.637812500e+2,-9.206250000e-2,-9.687500000e-3,5.062500000e-2,
2.619843750e+2,-8.403125000e-2,1.117187500e-2,3.968750000e-2,
2.660000000e+2,-9.809375000e-2,-3.515625000e-2,5.023437500e-2,
2.619687500e+2,-1.015312500e-1,-1.734375000e-2,3.109375000e-2,
2.640000000e+2,-9.209375000e-2,9.453125000e-3,3.984375000e-2,
2.659843750e+2,-8.800000000e-2,2.265625000e-3,5.906250000e-2,
2.680000000e+2,-8.796875000e-2,-2.023437500e-2,6.156250000e-2,
2.701250000e+2,-8.803125000e-2,-5.468750000e-4,2.984375000e-2,
2.601406250e+2,-8.406250000e-2,-9.375000000e-3,6.945312500e-2,
2.598437500e+2,-8.400000000e-2,-1.015625000e-3,4.054687500e-2,
2.659531250e+2,-8.403125000e-2,5.468750000e-4,3.968750000e-2,
2.641250000e+2,-9.196875000e-2,-1.062500000e-2,5.968750000e-2,
2.640000000e+2,-9.596875000e-2,3.125000000e-4,6.007812500e-2,
2.637500000e+2,-9.990625000e-2,-2.953125000e-2,6.007812500e-2,
2.680468750e+2,-9.200000000e-2,-2.070312500e-2,5.960937500e-2,
2.658125000e+2,-9.996875000e-2,0.000000000e+0,7.039062500e-2,
2.740000000e+2,-9.215625000e-2,0.000000000e+0,3.023437500e-2,
2.661250000e+2,-1.080312500e-1,9.921875000e-3,3.953125000e-2,
2.699531250e+2,-8.762500000e-2,0.000000000e+0,5.992187500e-2,
2.660000000e+2,-8.415625000e-2,1.007812500e-2,3.992187500e-2,
2.699687500e+2,-9.606250000e-2,-9.765625000e-3,4.992187500e-2,
2.659531250e+2,-8.778125000e-2,-2.007812500e-2,3.000000000e-2,
2.619843750e+2,-9.218750000e-2,7.812500000e-5,3.976562500e-2,
2.639687500e+2,-9.178125000e-2,0.000000000e+0,4.000000000e-2,
2.680468750e+2,-8.787500000e-2,-3.125000000e-4,4.984375000e-2,
2.620937500e+2,-9.256250000e-2,-2.007812500e-2,5.039062500e-2,
2.637968750e+2,-1.041875000e-1,-9.765625000e-3,4.031250000e-2,
2.677812500e+2,-9.484375000e-2,-7.812500000e-5,7.984375000e-2,
2.701250000e+2,-8.028125000e-2,7.031250000e-4,6.000000000e-2,
2.620625000e+2,-9.600000000e-2,3.000000000e-2,6.992187500e-2,
2.640000000e+2,-8.384375000e-2,-9.453125000e-3,5.125000000e-2,
2.600312500e+2,-8.793750000e-2,-2.914062500e-2,2.953125000e-2,
2.657968750e+2,-8.006250000e-2,-3.382812500e-2,7.937500000e-2,
