CH1,CH2,CH4,Ts,parameter,value
2.479843750e+2,-9.593750000e-2,7.984375000e+0,2.000000000e-9,model,"TEKTRONIX,TDS 3034B,0,CF:91.1CT FV:v3.35 TDS3FFT:v1.00 TDS3TRG:v1.00"
2.419843750e+2,-9.593750000e-2,6.000000000e+0,,captured_at,2026-06-12T19:21:06.821Z
2.499843750e+2,-8.806250000e-2,6.960937500e+0,,record_length,10000
2.460312500e+2,-9.981250000e-2,1.002343750e+1,,nb_points,10000
2.460000000e+2,-9.600000000e-2,6.007812500e+0,,horizontal_scale_s_div,2.0E-6
2.440000000e+2,-1.000625000e-1,7.007812500e+0,,horizontal_position,
2.580156250e+2,-1.080000000e-1,8.015625000e+0,,sample_period_Ts,2.0E-9
2.458906250e+2,-9.971875000e-2,8.984375000e+0,,acquire_mode,SAMPLE
2.480468750e+2,-8.400000000e-2,6.000000000e+0,,acquire_numavg,16
2.500000000e+2,-9.984375000e-2,7.000000000e+0,,trigger_type,EDGE
2.480000000e+2,-1.079687500e-1,7.000000000e+0,,trigger_source,CH1
2.500000000e+2,-1.080000000e-1,8.992187500e+0,,trigger_slope,RISE
2.520000000e+2,-1.040000000e-1,8.992187500e+0,,trigger_coupling,DC
2.459687500e+2,-1.080625000e-1,9.000000000e+0,,trigger_level,1.78E2
2.579062500e+2,-1.038437500e-1,9.007812500e+0,,CH1_scale_V_div,1.0E2
2.502187500e+2,-9.603125000e-2,6.000000000e+0,,CH1_position_div,-2.02E0
2.399531250e+2,-1.078750000e-1,9.000000000e+0,,CH1_offset_V,0.0E0
2.500937500e+2,-9.987500000e-2,6.007812500e+0,,CH1_coupling_AC_DC,DC
2.459218750e+2,-9.609375000e-2,7.015625000e+0,,CH1_impedance,MEG
2.481250000e+2,-1.040000000e-1,1.100781250e+1,,CH1_bandwidth_limit,FULL
2.520625000e+2,-9.596875000e-2,1.000781250e+1,,CH1_invert,0
2.519375000e+2,-1.000312500e-1,9.000000000e+0,,CH1_probe_atten,1.0E2
2.459062500e+2,-9.593750000e-2,1.098437500e+1,,CH1_yunit,V
2.458281250e+2,-9.593750000e-2,9.015625000e+0,,CH2_scale_V_div,2.0E-1
2.559687500e+2,-1.040000000e-1,7.000000000e+0,,CH2_position_div,-1.32E0
2.480312500e+2,-1.000625000e-1,8.031250000e+0,,CH2_offset_V,0.0E0
2.479531250e+2,-9.596875000e-2,1.100000000e+1,,CH2_coupling_AC_DC,DC
2.539062500e+2,-9.609375000e-2,9.000000000e+0,,CH2_impedance,FIFTY
2.581093750e+2,-1.080312500e-1,1.100000000e+1,,CH2_bandwidth_limit,FULL
2.442343750e+2,-1.000312500e-1,8.000000000e+0,,CH2_invert,0
2.462031250e+2,-1.080000000e-1,1.099218750e+1,,CH2_probe_atten,1.0E1
2.539843750e+2,-1.039687500e-1,9.984375000e+0,,CH2_yunit,A
2.459062500e+2,-9.996875000e-2,8.992187500e+0,,CH4_scale_V_div,3.36E1
