CH1,CH2,CH3,CH4,Ts,parameter,value
2.259843750e+2,-9.609375000e-2,-6.800000000e+0,2.688000000e+0,2.000000000e-9,model,"TEKTRONIX,TDS 3034B,0,CF:91.1CT FV:v3.35 TDS3FFT:v1.00 TDS3TRG:v1.00"
2.260000000e+2,-9.587500000e-2,-5.987500000e+0,3.360000000e+0,,captured_at,2026-06-12T19:25:56.328Z
2.260156250e+2,-9.206250000e-2,-5.575000000e+0,4.053000000e+0,,record_length,10000
2.260156250e+2,-1.080000000e-1,-7.196875000e+0,2.016000000e+0,,nb_points,10000
2.320312500e+2,-1.040000000e-1,-5.984375000e+0,2.021250000e+0,,horizontal_scale_s_div,2.0E-6
2.319375000e+2,-1.040312500e-1,-5.612500000e+0,2.693250000e+0,,horizontal_position,
2.279375000e+2,-9.990625000e-2,-6.400000000e+0,3.339000000e+0,,sample_period_Ts,2.0E-9
2.280781250e+2,-9.600000000e-2,-6.006250000e+0,1.317750000e+0,,acquire_mode,SAMPLE
2.320000000e+2,-1.000625000e-1,-6.803125000e+0,2.005500000e+0,,acquire_numavg,16
2.280000000e+2,-1.040312500e-1,-6.390625000e+0,3.360000000e+0,,trigger_type,EDGE
2.300000000e+2,-1.000000000e-1,-7.200000000e+0,1.344000000e+0,,trigger_source,CH1
2.300000000e+2,-1.000625000e-1,-6.393750000e+0,3.328500000e+0,,trigger_slope,RISE
2.280156250e+2,-1.040000000e-1,-6.400000000e+0,4.037250000e+0,,trigger_coupling,DC
2.279843750e+2,-1.000312500e-1,-6.800000000e+0,1.333500000e+0,,trigger_level,1.78E2
2.299843750e+2,-1.040312500e-1,-6.800000000e+0,2.005500000e+0,,CH1_scale_V_div,1.0E2
2.280312500e+2,-9.600000000e-2,-6.806250000e+0,1.349250000e+0,,CH1_position_div,-2.02E0
2.259843750e+2,-9.203125000e-2,-6.403125000e+0,2.016000000e+0,,CH1_offset_V,0.0E0
2.260156250e+2,-1.001250000e-1,-6.800000000e+0,2.677500000e+0,,CH1_coupling_AC_DC,DC
2.280000000e+2,-1.079687500e-1,-6.803125000e+0,4.688250000e+0,,CH1_impedance,MEG
2.300468750e+2,-9.996875000e-2,-6.400000000e+0,4.032000000e+0,,CH1_bandwidth_limit,TWENTY
2.319687500e+2,-1.039687500e-1,-6.800000000e+0,2.688000000e+0,,CH1_invert,0
2.300312500e+2,-9.593750000e-2,-6.400000000e+0,3.344250000e+0,,CH1_probe_atten,1.0E2
