vds;If;T
0.448390862;0.103656273;125
0.50102244;0.452120737;125
0.599906013;6.795582493;125
0.698789586;39.02011187;125
0.800862951;105.9346722;125
0.90134142;206.5460055;125
1.000224992;324.4732091;125
1.100703461;462.0585014;125
1.199587034;632.641267;125
1.298470606;785.1888919;125
1.402138868;1013.557393;125
0.636588629;0.101926043;25
0.700384482;1.234357037;25
0.799268055;22.51554916;25
0.899746523;97.38369196;25
1.000224992;209.4637291;25
1.102298358;355.947554;25
1.199587034;516.9314062;25
1.300065503;707.7721517;25
1.400543972;913.6243572;25
